Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2022 00:00:00,31/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",41136766,04/01/2023 14:01:01,A
31/12/2022 00:00:00,31/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1553465639,04/01/2023 12:01:01,A
31/12/2022 00:00:00,31/12/2022,"NTS Energy Offtaken, Powerstations Total",245989939,02/01/2023 10:01:01,A
30/12/2022 00:00:00,30/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",39916179,02/01/2023 12:01:00,A
30/12/2022 00:00:00,30/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1732955801,04/01/2023 12:01:01,A
30/12/2022 00:00:00,30/12/2022,"NTS Energy Offtaken, Powerstations Total",111661365,03/01/2023 16:01:01,A
29/12/2022 00:00:00,29/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",36725922,31/12/2022 12:01:00,A
29/12/2022 00:00:00,29/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1798669711,03/01/2023 16:01:01,A
29/12/2022 00:00:00,29/12/2022,"NTS Energy Offtaken, Powerstations Total",109509312,30/12/2022 12:01:00,A
28/12/2022 00:00:00,28/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",44040004,29/12/2022 16:01:00,A
28/12/2022 00:00:00,28/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1701913006,29/12/2022 16:01:00,A
28/12/2022 00:00:00,28/12/2022,"NTS Energy Offtaken, Powerstations Total",141626263,02/01/2023 14:01:00,A
27/12/2022 00:00:00,27/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",54017847,29/12/2022 14:01:01,A
27/12/2022 00:00:00,27/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1900943019,30/12/2022 14:01:01,A
27/12/2022 00:00:00,27/12/2022,"NTS Energy Offtaken, Powerstations Total",102636222,28/12/2022 12:01:00,L
26/12/2022 00:00:00,26/12/2022,"NTS Energy Offtaken, Industrial Offtake Total",51520336,29/12/2022 14:01:01,A
26/12/2022 00:00:00,26/12/2022,"NTS Energy Offtaken, LDZ Offtake Total",1801908411,29/12/2022 16:01:00,A
26/12/2022 00:00:00,26/12/2022,"NTS Energy Offtaken, Powerstations Total",118391421,27/12/2022 12:01:00,A
