date,final_demand,power_generation,lng_trucks,total_demand
2026-01-01,674.79,309.89,13.93,998.61
2026-01-02,765.76,299.15,43.82,1108.72
2026-01-03,721.93,285.4,20.84,1028.18
2026-01-04,755.91,239.15,23.93,1018.99
2026-01-05,866.23,262.54,29.42,1158.19
2026-01-06,858.32,272.25,22.65,1153.22
2026-01-07,997.08,386.72,47.22,1431.01
2026-01-08,947.57,327.77,52.59,1327.93
2026-01-09,893.4,261.37,44.35,1199.12
2026-01-10,810.92,258.19,25.19,1094.3
2026-01-11,797.75,246.59,16.47,1060.81
2026-01-12,897.37,300.44,50.01,1247.82
2026-01-13,883.03,365.23,48.42,1296.68
2026-01-14,875.68,492.55,50.63,1418.86
2026-01-15,901.87,337.53,53.0,1292.4
2026-01-16,871.21,530.93,44.6,1446.75
2026-01-17,810.21,422.17,20.16,1252.54
2026-01-18,801.62,345.37,18.64,1165.63
2026-01-19,904.37,426.61,54.9,1385.88
2026-01-20,924.71,349.94,46.01,1320.65
2026-01-21,899.82,241.52,52.84,1194.18
2026-01-22,875.6,221.4,49.53,1146.53
2026-01-23,847.96,250.51,37.58,1136.04
2026-01-24,794.36,161.75,18.03,974.14
2026-01-25,761.85,165.31,17.59,944.75
2026-01-26,840.65,193.54,53.93,1088.12
2026-01-27,833.48,186.0,48.0,1067.48
2026-01-28,865.04,343.49,48.58,1257.11
2026-01-29,811.6,183.76,50.13,1045.49
2026-01-30,788.57,174.31,43.82,1006.71
2026-01-31,697.28,192.65,14.9,904.82
2026-02-01,697.73,212.66,17.3,927.69
2026-02-02,806.38,212.44,50.26,1069.07
2026-02-03,820.82,277.99,46.09,1144.89
2026-02-04,815.12,230.08,46.55,1091.75
2026-02-05,785.87,213.89,47.49,1047.25
2026-02-06,770.49,199.88,42.57,1012.95
2026-02-07,699.68,164.52,14.81,879.02
2026-02-08,697.69,183.07,17.85,898.61
2026-02-09,777.12,226.99,50.51,1054.61
2026-02-10,717.04,185.43,49.03,951.5
2026-02-11,704.68,199.64,42.66,946.97
2026-02-12,715.01,196.48,49.17,960.66
2026-02-13,753.8,187.89,41.05,982.74
2026-02-14,677.86,209.46,14.44,901.76
2026-02-15,670.55,211.41,13.49,895.45
2026-02-16,734.59,223.1,52.53,1010.22
